Step Count,Time Now,Velocity Sum Value X,Velocity Sum Value Y,Potential Energy Sum,Potential Energy Sum Squared,Kinetic Energy Sum,Kinetic Energy Sum Squared,Pressure Sum,Pressure Sum Squared
    1,  0.0050, -0.0000, -0.0000,  0.9708,  0.9425,  0.9672,  0.9354,  0.4627,  0.2141
    2,  0.0100, -0.0000, -0.0000,  0.9708,  0.9424,  0.9609,  0.9233,  0.2870,  0.0824
    3,  0.0150, -0.0000, -0.0000,  0.9707,  0.9423,  0.9507,  0.9038,  0.0762,  0.0058
    4,  0.0200,  0.0000, -0.0000,  0.9707,  0.9422,  0.9361,  0.8764, -0.1676,  0.0281
    5,  0.0250, -0.0000, -0.0000,  0.9707,  0.9422,  0.9168,  0.8404, -0.4444,  0.1975
    6,  0.0300, -0.0000, -0.0000,  0.9706,  0.9421,  0.8922,  0.7960, -0.7552,  0.5703
    7,  0.0350, -0.0000, -0.0000,  0.9706,  0.9421,  0.8624,  0.7437, -1.0993,  1.2084
    8,  0.0400, -0.0000, -0.0000,  0.9706,  0.9421,  0.8274,  0.6846, -1.4738,  2.1721
    9,  0.0450,  0.0000, -0.0000,  0.9707,  0.9422,  0.7879,  0.6208, -1.8734,  3.5096
   10,  0.0500, -0.0000, -0.0000,  0.9708,  0.9424,  0.7451,  0.5551, -2.2889,  5.2390
   11,  0.0550, -0.0000, -0.0000,  0.9709,  0.9427,  0.7005,  0.4906, -2.7078,  7.3320
   12,  0.0600, -0.0000, -0.0000,  0.9711,  0.9430,  0.6563,  0.4308, -3.1144,  9.6996
   13,  0.0650, -0.0000, -0.0000,  0.9712,  0.9433,  0.6152,  0.3785, -3.4917, 12.1921
   14,  0.0700, -0.0000, -0.0000,  0.9714,  0.9435,  0.5797,  0.3360, -3.8220, 14.6079
   15,  0.0750, -0.0000, -0.0000,  0.9714,  0.9437,  0.5519,  0.3046, -4.0902, 16.7299
   16,  0.0800, -0.0000, -0.0000,  0.9715,  0.9438,  0.5334,  0.2846, -4.2863, 18.3722
   17,  0.0850,  0.0000, -0.0000,  0.9714,  0.9437,  0.5247,  0.2753, -4.4069, 19.4211
   18,  0.0900, -0.0000, -0.0000,  0.9713,  0.9435,  0.5251,  0.2758, -4.4560, 19.8562
   19,  0.0950, -0.0000, -0.0000,  0.9712,  0.9432,  0.5333,  0.2844, -4.4441, 19.7497
   20,  0.1000, -0.0000, -0.0000,  0.9711,  0.9430,  0.5470,  0.2992, -4.3850, 19.2284
   21,  0.1050, -0.0000, -0.0000,  0.9709,  0.9427,  0.5638,  0.3179, -4.2954, 18.4505
   22,  0.1100, -0.0000, -0.0000,  0.9708,  0.9424,  0.5816,  0.3383, -4.1912, 17.5665
   23,  0.1150, -0.0000, -0.0000,  0.9707,  0.9423,  0.5982,  0.3579, -4.0862, 16.6972
   24,  0.1200, -0.0000, -0.0000,  0.9706,  0.9421,  0.6122,  0.3748, -3.9928, 15.9425
   25,  0.1250,  0.0000, -0.0000,  0.0388,  0.1902,  0.0249,  0.1220, -0.1567,  0.7679
   26,  0.1300, -0.0000, -0.0000,  0.9706,  0.9421,  0.6287,  0.3952, -3.8662, 14.9474
   27,  0.1350, -0.0000, -0.0000,  0.9707,  0.9422,  0.6310,  0.3981, -3.8342, 14.7011
   28,  0.1400, -0.0000, -0.0000,  0.9707,  0.9424,  0.6300,  0.3969, -3.8206, 14.5970
   29,  0.1450, -0.0000, -0.0000,  0.9708,  0.9425,  0.6267,  0.3928, -3.8216, 14.6043
   30,  0.1500, -0.0000, -0.0000,  0.9709,  0.9427,  0.6223,  0.3873, -3.8275, 14.6496
   31,  0.1550, -0.0000, -0.0000,  0.9710,  0.9428,  0.6179,  0.3818, -3.8309, 14.6760
   32,  0.1600, -0.0000, -0.0000,  0.9710,  0.9429,  0.6146,  0.3778, -3.8310, 14.6765
   33,  0.1650, -0.0000, -0.0000,  0.9711,  0.9430,  0.6133,  0.3761, -3.8211, 14.6009
   34,  0.1700, -0.0000, -0.0000,  0.9711,  0.9430,  0.6144,  0.3774, -3.7954, 14.4052
   35,  0.1750, -0.0000, -0.0000,  0.9710,  0.9429,  0.6178,  0.3817, -3.7570, 14.1147
   36,  0.1800, -0.0000, -0.0000,  0.9710,  0.9429,  0.6233,  0.3885, -3.7096, 13.7610
   37,  0.1850, -0.0000, -0.0000,  0.9710,  0.9428,  0.6304,  0.3974, -3.6525, 13.3407
   38,  0.1900, -0.0000, -0.0000,  0.9709,  0.9427,  0.6383,  0.4075, -3.5918, 12.9008
   39,  0.1950, -0.0000, -0.0000,  0.9709,  0.9426,  0.6466,  0.4181, -3.5282, 12.4481
   40,  0.2000, -0.0000,  0.0000,  0.9709,  0.9426,  0.6544,  0.4283, -3.4665, 12.0168
   41,  0.2050, -0.0000, -0.0000,  0.9708,  0.9425,  0.6614,  0.4375, -3.4124, 11.6446
   42,  0.2100, -0.0000, -0.0000,  0.9708,  0.9425,  0.6672,  0.4451, -3.3662, 11.3310
   43,  0.2150, -0.0000, -0.0000,  0.9708,  0.9425,  0.6714,  0.4508, -3.3284, 11.0780
   44,  0.2200, -0.0000, -0.0000,  0.9708,  0.9425,  0.6740,  0.4543, -3.2998, 10.8889
   45,  0.2250, -0.0000,  0.0000,  0.9708,  0.9425,  0.6752,  0.4558, -3.2818, 10.7699
   46,  0.2300, -0.0000, -0.0000,  0.9709,  0.9426,  0.6749,  0.4555, -3.2726, 10.7099
   47,  0.2350, -0.0000, -0.0000,  0.9709,  0.9426,  0.6735,  0.4536, -3.2732, 10.7140
   48,  0.2400, -0.0000, -0.0000,  0.9709,  0.9427,  0.6713,  0.4507, -3.2822, 10.7726
   49,  0.2450, -0.0000, -0.0000,  0.9709,  0.9427,  0.6688,  0.4473, -3.2975, 10.8733
   50,  0.2500, -0.0000,  0.0000,  0.0388,  0.1903,  0.0266,  0.1306, -0.1325,  0.6492
